variable,classification,first_event_available,allowed_models,forbidden_models,notes
drive,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
drive_end_transition,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|string
drive_end_yard_line,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|string
drive_ended_with_score,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
drive_first_downs,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|number
drive_game_clock_end,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|string
drive_game_clock_start,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|string
drive_inside20,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|number
drive_play_count,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|number
drive_play_id_ended,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|number
drive_play_id_started,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|number
drive_quarter_end,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|number
drive_quarter_start,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|number
drive_real_start_time,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|string
drive_start_transition,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|string
drive_start_yard_line,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|string
drive_time_of_possession,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|string
drive_yards_penalized,LEAKAGE_DO_NOT_USE,,,ALL,drive-aggregate — encodes future plays; js_type=null|number
end_clock_time,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
end_yard_line,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null
ep,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
epa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
extra_point_attempt,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
extra_point_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
extra_point_result,TARGET,,,,model target (§19); js_type=null|string
fantasy,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
fantasy_id,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
fantasy_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
fantasy_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
fg_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
field_goal_attempt,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
field_goal_result,TARGET,,,,model target (§19); js_type=null|string
first_down,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
first_down_pass,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
first_down_penalty,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
first_down_rush,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
fixed_drive,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
fixed_drive_result,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|string
forced_fumble_player_1_player_id,VALIDATION_ONLY,,,,attribution/debug only; js_type=null|string
forced_fumble_player_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
forced_fumble_player_1_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
forced_fumble_player_2_player_id,VALIDATION_ONLY,,,,attribution/debug only; js_type=null|string
forced_fumble_player_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
forced_fumble_player_2_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
fourth_down_converted,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
fourth_down_failed,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
fumble,TARGET,,,,model target (§19); js_type=null|number
fumble_forced,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
fumble_lost,TARGET,,,,model target (§19); js_type=null|number
fumble_not_forced,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
fumble_out_of_bounds,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
fumble_recovery_1_player_id,VALIDATION_ONLY,,,,attribution/debug only; js_type=null|string
fumble_recovery_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
fumble_recovery_1_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
fumble_recovery_1_yards,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
fumble_recovery_2_player_id,VALIDATION_ONLY,,,,attribution/debug only; js_type=null|string
fumble_recovery_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
fumble_recovery_2_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
fumble_recovery_2_yards,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
fumbled_1_player_id,VALIDATION_ONLY,,,,attribution/debug only; js_type=null|string
fumbled_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
fumbled_1_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
fumbled_2_player_id,VALIDATION_ONLY,,,,attribution/debug only; js_type=null|string
fumbled_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
fumbled_2_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
game_date,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
game_half,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=string
game_id,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
game_seconds_remaining,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
game_stadium,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=string
goal_to_go,STATE,,ALL (pre-snap),,spec §5/§17; js_type=number
half_sack_1_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
half_sack_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
half_sack_2_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
half_sack_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
half_seconds_remaining,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
home_coach,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
home_opening_kickoff,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=number
home_score,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=number
home_team,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
home_timeouts_remaining,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=number
home_wp,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
home_wp_post,LEAKAGE_DO_NOT_USE,,,ALL,post-play state (§10); js_type=null|number
id,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
incomplete_pass,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
interception,TARGET,,,,model target (§19); js_type=null|number
interception_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
interception_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
jersey_number,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
kick_distance,TARGET,,,,model target (§19); js_type=null|number
kicker_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
kicker_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
kickoff_attempt,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
kickoff_downed,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
kickoff_fair_catch,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
kickoff_in_endzone,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
kickoff_inside_twenty,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
kickoff_out_of_bounds,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
kickoff_returner_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
kickoff_returner_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_interception_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_interception_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_kickoff_returner_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_kickoff_returner_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_punt_returner_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null"
lateral_punt_returner_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null"
lateral_receiver_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_receiver_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_receiving_yards,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
lateral_reception,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
lateral_recovery,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
lateral_return,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
lateral_rush,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
lateral_rusher_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_rusher_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
lateral_rushing_yards,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
lateral_sack_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null"
lateral_sack_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null"
location,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=string
name,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
nfl_api_id,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=string
no_huddle,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=number
no_score_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
old_game_id,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=string
opp_fg_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
opp_safety_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
opp_td_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
order_sequence,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
out_of_bounds,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
own_kickoff_recovery,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
own_kickoff_recovery_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
own_kickoff_recovery_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
own_kickoff_recovery_td,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
pass,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
pass_attempt,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
pass_defense_1_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
pass_defense_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
pass_defense_2_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
pass_defense_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
pass_length,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|string
pass_location,TARGET,,,,TARGET in its own model; INTERMEDIATE downstream (§19); js_type=null|string
pass_oe,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
pass_touchdown,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
passer,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
passer_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
passer_jersey_number,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|number"
passer_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
passer_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
passing_yards,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
penalty,INTERMEDIATE,,,,V1.5 penalty module (§25); not fitted or used in V1 core outcomes; js_type=null|number
penalty_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
penalty_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
penalty_team,TARGET,,,,V1.5 penalty module (§25); not fitted or used in V1 core outcomes; js_type=null|string
penalty_type,TARGET,,,,V1.5 penalty module (§25); not fitted or used in V1 core outcomes; js_type=null|string
penalty_yards,TARGET,,,,V1.5 penalty module (§25); not fitted or used in V1 core outcomes; js_type=null|number
play,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
play_clock,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=string
play_deleted,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
play_id,STATE,,ALL (pre-snap),,spec §5/§17; js_type=number
play_type,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
play_type_nfl,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=string
posteam,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|string
posteam_score,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
posteam_score_post,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
posteam_timeouts_remaining,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
posteam_type,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|string
punt_attempt,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
punt_blocked,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
punt_downed,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
punt_fair_catch,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
punt_in_endzone,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
punt_inside_twenty,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
punt_out_of_bounds,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
punt_returner_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
punt_returner_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
punter_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
punter_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
qb_dropback,TARGET,,,,model target (§19); js_type=null|number
qb_epa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
qb_hit,TARGET,,,,TARGET in its own model; INTERMEDIATE downstream (§19); js_type=null|number
qb_hit_1_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
qb_hit_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
qb_hit_2_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
qb_hit_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
qb_kneel,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=number
qb_scramble,TARGET,,,,model target (§19); js_type=number
qb_spike,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=number
qtr,STATE,,ALL (pre-snap),,spec §5/§17; js_type=number
quarter_end,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
quarter_seconds_remaining,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
receiver,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
receiver_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
receiver_jersey_number,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|number"
receiver_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
receiver_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
receiving_yards,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
replay_or_challenge,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
replay_or_challenge_result,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
result,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
return_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
return_touchdown,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
return_yards,TARGET,,,,model target (§19); js_type=null|number
roof,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
run_gap,TARGET,,,,model target (§19); js_type=null|string
run_location,TARGET,,,,model target (§19); js_type=null|string
rush,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
rush_attempt,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
rush_touchdown,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
rusher,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
rusher_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
rusher_jersey_number,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|number"
rusher_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
rusher_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
rushing_yards,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
sack,TARGET,,,,model target (§19); js_type=null|number
